University,Degree,Course Name,Credits,College Course Cost ($),College Course Time (Weeks),Alternative Path 1,Alt 1 Cost ($),Alt 1 Time (Weeks),Alternative Path 2,Alt 2 Cost ($),Alt 2 Time (Weeks),Fresher,Alt 3
Caltech,Computer Science,Web Development,3,1259,11,,,,,,,0,
Caltech,Computer Science,Blockchain Fundamentals,4,1063,13,AP Blockchain Fundamentals exam,492,1,IBM Blockchain Fundamentals certificate,350,3,1,Software Engineer
Caltech,Computer Science,Programming in Python,7,903,6,,,,,,,0,
Caltech,Computer Science,Advanced Database Management,6,669,13,,,,,,,0,Data Analyst
Caltech,Computer Science,Data Science Fundamentals,4,545,8,CLEP Data Science Fundamentals exam,221,1,Google Data Science Fundamentals certificate,490,6,0,Data Analyst
Caltech,Computer Science,Computer Vision,7,525,10,,,,,,,0,Data Analyst
Caltech,Computer Science,Operating Systems,3,1158,7,DSST Operating Systems exam,381,1,AWS Operating Systems certificate,411,4,0,Data Analyst
Caltech,Computer Science,API Development,4,1476,9,AP API Development exam,316,1,Google API Development certificate,233,3,1,
Caltech,Computer Science,Software Architecture,7,681,9,,,,,,,0,
Caltech,Computer Science,Network Security,4,885,7,,,,,,,0,
Caltech,Computer Science,Big Data Analytics,6,1494,12,CLEP Big Data Analytics exam,315,1,AWS Big Data Analytics certificate,205,5,0,
Caltech,Computer Science,Deep Learning,9,979,13,DSST Deep Learning exam,348,1,AWS Deep Learning certificate,248,5,0,Cybersecurity Specialist
Caltech,Computer Science,Advanced Topics in Computer Science 1,7,1446,9,AP Advanced Topics in Computer Science 1 exam,449,1,AWS Advanced Topics in Computer Science 1 certificate,368,3,1,Data Analyst
Caltech,Electrical Engineering,Circuit Analysis,4,1365,10,DSST Circuit Analysis exam,445,1,edX Circuit Analysis certificate,180,4,0,
Caltech,Electrical Engineering,Robotics and Automation,8,1020,6,,,,,,,0,
Caltech,Electrical Engineering,Control Systems,7,700,10,,,,,,,0,
Caltech,Electrical Engineering,Machine Learning for Electrical Systems,7,827,11,,,,,,,0,Power Systems Engineer
Caltech,Electrical Engineering,Communication Systems,5,729,6,,,,,,,0,
Caltech,Electrical Engineering,Advanced Instrumentation,7,648,8,AP Advanced Instrumentation exam,330,1,Coursera Advanced Instrumentation certificate,263,6,1,Embedded Systems Engineer
Caltech,Electrical Engineering,High Voltage Engineering,4,755,10,,,,,,,0,
Caltech,Electrical Engineering,Analog Electronics,5,1037,9,DSST Analog Electronics exam,531,1,Coursera Analog Electronics certificate,439,4,0,
Caltech,Electrical Engineering,Microelectronics,8,945,9,AP Microelectronics exam,307,1,Coursera Microelectronics certificate,180,4,1,
Caltech,Electrical Engineering,Signal Transmission,4,1010,11,CLEP Signal Transmission exam,275,1,edX Signal Transmission certificate,368,4,0,Electrical Engineer
Caltech,Electrical Engineering,Electrical Safety,4,1418,10,,,,,,,0,
Caltech,Electrical Engineering,Embedded Systems,8,990,8,AP Embedded Systems exam,442,1,Coursera Embedded Systems certificate,260,6,1,
Caltech,Electrical Engineering,Renewable Energy Systems,7,1261,7,DSST Renewable Energy Systems exam,210,1,Coursera Renewable Energy Systems certificate,570,5,0,Power Systems Engineer
Caltech,Electrical Engineering,Smart Grid Technology,3,1205,13,CLEP Smart Grid Technology exam,507,1,Coursera Smart Grid Technology certificate,474,4,0,Power Systems Engineer
Caltech,Electrical Engineering,Digital Signal Processing,4,851,13,AP Digital Signal Processing exam,368,1,Coursera Digital Signal Processing certificate,222,3,1,
Caltech,Electrical Engineering,VLSI Design,3,1146,7,CLEP VLSI Design exam,434,1,edX VLSI Design certificate,386,5,0,
Caltech,Electrical Engineering,Power Systems,5,948,10,CLEP Power Systems exam,446,1,Coursera Power Systems certificate,556,3,0,Power Systems Engineer
Caltech,Electrical Engineering,Industrial Automation,7,746,11,DSST Industrial Automation exam,576,1,edX Industrial Automation certificate,376,4,0,
Caltech,Electrical Engineering,Power Electronics,5,1258,13,AP Power Electronics exam,590,1,Coursera Power Electronics certificate,374,5,1,
Caltech,Electrical Engineering,Advanced Topics in Electrical Engineering 1,4,1208,9,CLEP Advanced Topics in Electrical Engineering 1 exam,384,1,Coursera Advanced Topics in Electrical Engineering 1 certificate,399,6,0,Embedded Systems Engineer
Caltech,Electrical Engineering,Electrical Machines,8,746,9,CLEP Electrical Machines exam,427,1,Coursera Electrical Machines certificate,341,4,0,Embedded Systems Engineer
Caltech,Electrical Engineering,Advanced Topics in Electrical Engineering 2,5,1173,7,AP Advanced Topics in Electrical Engineering 2 exam,283,1,Coursera Advanced Topics in Electrical Engineering 2 certificate,322,4,1,
Caltech,Mechanical Engineering,Manufacturing Processes,4,983,12,,,,,,,0,
Caltech,Mechanical Engineering,Renewable Energy Systems,7,906,11,AP Renewable Energy Systems exam,274,1,Google Renewable Energy Systems certificate,574,4,1,
Caltech,Mechanical Engineering,Industrial Automation,4,1194,8,DSST Industrial Automation exam,588,1,IBM Industrial Automation certificate,385,5,0,Manufacturing Engineer
Caltech,Mechanical Engineering,Additive Manufacturing,5,555,9,,,,,,,0,Mechanical Design Engineer
Caltech,Mechanical Engineering,Control Systems,5,1116,9,,,,,,,0,Automotive Engineer
Caltech,Mechanical Engineering,Hydraulics and Pneumatics,7,549,6,CLEP Physics exam,390,1,AWS Hydraulics and Pneumatics certificate,390,5,0,Manufacturing Engineer
Caltech,Mechanical Engineering,Heat Transfer,4,1482,7,CLEP Heat Transfer exam,431,1,Google Heat Transfer certificate,350,6,0,
Caltech,Mechanical Engineering,Mechanical Vibrations,6,1314,6,CLEP Mechanical Vibrations exam,319,1,IBM Mechanical Vibrations certificate,423,3,0,Automotive Engineer
Caltech,Mechanical Engineering,Machine Design,2,736,12,AP Machine Design exam,417,1,AWS Machine Design certificate,393,3,1,
Caltech,Mechanical Engineering,Engineering Economics,7,708,8,CLEP Engineering Economics exam,438,1,Google Engineering Economics certificate,207,3,0,Mechanical Design Engineer
Caltech,Mechanical Engineering,Welding Technology,6,1047,11,CLEP Welding Technology exam,544,1,IBM Welding Technology certificate,465,6,0,
Caltech,Mechanical Engineering,Thermodynamics,5,1491,11,DSST Thermodynamics exam,307,1,IBM Thermodynamics certificate,423,6,0,Mechanical Design Engineer
Caltech,Mechanical Engineering,Finite Element Analysis,7,956,9,AP Finite Element Analysis exam,526,1,Google Finite Element Analysis certificate,493,3,1,
Caltech,Mechanical Engineering,Fluid Mechanics,6,1464,11,,,,,,,0,Automotive Engineer
Caltech,Mechanical Engineering,Robotics,6,1416,9,DSST Robotics exam,372,1,Google Robotics certificate,407,5,0,
Caltech,Mechanical Engineering,Material Science,7,1188,9,CLEP Material Science exam,565,1,Google Material Science certificate,197,5,0,
Caltech,Mechanical Engineering,Automobile Engineering,5,1280,12,DSST Automobile Engineering exam,272,1,IBM Automobile Engineering certificate,429,4,0,
Caltech,Mechanical Engineering,Instrumentation and Measurement,4,877,8,CLEP Instrumentation and Measurement exam,204,1,Google Instrumentation and Measurement certificate,417,4,0,Manufacturing Engineer
Caltech,Mechanical Engineering,Computer-Aided Design (CAD),5,1303,12,DSST Computer-Aided Design (CAD) exam,430,1,IBM Computer-Aided Design (CAD) certificate,593,4,0,
Caltech,Mechanical Engineering,Advanced Topics in Mechanical Engineering 2,7,1186,9,DSST Advanced Topics in Mechanical Engineering 2 exam,260,1,AWS Advanced Topics in Mechanical Engineering 2 certificate,154,4,0,Automotive Engineer
Caltech,Mechanical Engineering,Product Lifecycle Management,5,1050,8,AP Product Lifecycle Management exam,251,1,IBM Product Lifecycle Management certificate,158,6,1,Mechanical Design Engineer
Caltech,Mechanical Engineering,Advanced Topics in Mechanical Engineering 1,5,625,11,,,,,,,0,Mechanical Design Engineer
